100 1000
1 32 84
1 48 99
1 2 96
1 91 52
1 69 43
1 51 86
1 81 44
1 74 77
1 12 20
1 13 70
1 78 17
1 79 49
1 80 12
1 49 32
1 82 73
1 35 28
1 20 15
1 27 52
1 3 82
1 31 56
2 32 10
2 3 8
2 4 9
2 71 49
2 75 34
2 11 29
2 14 46
2 15 52
2 80 97
2 18 21
2 19 6
2 36 95
2 90 78
2 59 28
2 60 12
2 58 60
2 62 9
3 4 11
3 6 77
3 14 47
3 23 67
3 32 48
3 34 60
3 35 48
3 39 37
3 40 50
3 41 7
3 55 5
3 60 87
3 61 33
3 65 73
3 69 30
3 72 1
3 75 30
3 77 51
3 80 2
3 85 45
3 88 34
3 89 66
3 95 34
3 97 71
3 99 47
4 34 92
4 5 91
4 38 96
4 7 34
4 10 60
4 39 86
4 44 40
4 17 31
4 19 98
4 83 61
4 26 76
4 91 62
4 93 57
4 62 28
4 69 40
5 34 51
5 99 27
5 69 48
5 9 32
5 10 74
5 75 34
5 98 11
5 79 54
5 48 12
5 52 98
5 85 33
5 54 19
5 87 69
5 56 13
5 28 62
5 93 31
5 63 57
6 65 65
6 11 77
6 100 91
6 81 60
6 76 20
6 42 61
6 7 46
6 12 73
6 27 33
6 17 5
6 50 66
6 84 22
6 21 89
6 86 61
6 87 1
6 23 65
6 91 26
6 61 38
6 62 33
6 53 23
7 96 3
7 97 30
7 99 62
7 37 62
7 8 56
7 64 12
7 11 36
7 76 44
7 40 74
7 52 5
7 22 83
7 57 2
7 26 11
7 28 65
7 30 99
8 15 70
8 19 23
8 25 25
8 28 43
8 32 23
8 33 20
8 36 57
8 37 39
8 39 87
8 45 67
8 46 84
8 57 42
8 60 9
8 64 7
8 66 96
8 69 31
8 72 65
8 78 90
8 79 85
8 84 35
8 86 28
8 90 19
8 92 68
8 94 17
8 96 87
9 32 4
9 36 59
9 69 21
9 70 69
9 40 25
9 44 24
9 12 11
9 38 32
9 76 42
9 51 21
9 20 41
9 21 24
9 22 80
9 87 21
9 56 56
9 27 51
9 93 100
9 63 12
10 33 15
10 59 72
10 22 43
10 44 52
10 42 99
10 11 46
10 12 20
10 76 40
10 67 95
10 53 28
10 54 22
10 87 50
10 27 66
11 64 28
11 65 41
11 34 65
11 98 13
11 33 9
11 42 9
11 45 86
11 93 13
11 13 26
11 82 49
11 21 92
11 87 42
11 15 32
11 61 72
11 53 75
12 97 9
12 74 8
12 70 2
12 65 57
12 73 71
12 42 85
12 43 1
12 16 86
12 84 33
12 85 6
12 86 6
12 88 9
12 20 84
12 26 51
12 91 35
12 61 6
12 39 62
12 21 64
13 100 46
13 98 1
13 68 9
13 69 18
13 70 48
13 49 44
13 40 83
13 39 18
13 56 90
13 22 16
13 55 33
13 88 31
13 25 7
13 31 51
14 64 69
14 51 38
14 66 97
14 36 37
14 70 93
14 65 48
14 72 48
14 60 28
14 74 73
14 44 87
14 93 98
14 16 96
14 18 5
14 83 38
14 84 66
14 54 78
14 15 40
14 92 4
14 29 21
15 33 89
15 50 25
15 70 5
15 80 17
15 73 44
15 74 61
15 76 8
15 77 50
15 78 76
15 48 49
15 18 11
15 83 35
15 52 20
15 85 73
15 54 70
15 23 7
15 28 100
15 35 65
16 70 66
16 71 33
16 73 64
16 87 93
16 94 79
16 82 10
16 85 51
16 86 13
16 57 6
16 24 91
16 89 47
16 29 28
16 55 5
17 64 27
17 97 99
17 66 13
17 67 79
17 68 68
17 72 72
17 41 98
17 75 53
17 44 65
17 34 57
17 78 63
17 47 9
17 35 77
17 86 28
17 88 26
17 59 91
17 95 38
18 32 64
18 84 38
18 67 35
18 100 6
18 71 29
18 72 14
18 64 59
18 76 55
18 47 32
18 35 46
18 52 27
18 89 71
18 58 8
18 36 42
18 61 25
18 63 99
19 98 84
19 99 78
19 37 17
19 38 1
19 39 1
19 43 48
19 94 49
19 34 74
19 46 42
19 82 29
19 83 23
19 85 7
19 86 21
19 55 17
19 56 31
19 58 82
19 95 19
19 28 38
19 29 7
19 30 55
19 63 10
20 64 39
20 33 11
20 34 68
20 68 35
20 37 63
20 38 57
20 39 2
20 96 23
20 43 55
20 44 69
20 70 85
20 47 13
20 49 55
20 52 26
20 97 21
20 87 55
20 24 65
20 57 83
20 91 51
20 92 67
20 65 100
21 64 36
21 33 16
21 99 91
21 37 62
21 65 73
21 40 77
21 91 5
21 43 22
21 45 75
21 46 62
21 75 58
21 51 47
21 25 73
21 58 57
21 59 96
21 60 73
21 90 54
22 96 18
22 97 21
22 98 18
22 68 38
22 37 39
22 71 35
22 40 38
22 76 88
22 75 35
22 44 30
22 45 98
22 79 93
22 88 28
22 85 4
22 86 63
22 69 67
22 62 100
22 23 87
22 30 88
22 63 9
23 32 28
23 65 34
23 35 6
23 36 66
23 38 72
23 74 82
23 76 68
23 99 62
23 81 77
23 83 30
23 52 85
23 85 37
23 55 70
23 56 12
23 100 60
23 27 90
23 28 88
23 42 26
23 62 12
23 51 57
24 27 83
24 30 88
24 31 49
24 34 89
24 36 38
24 38 34
24 41 20
24 52 60
24 53 60
24 55 64
24 57 95
24 63 63
24 65 18
24 66 20
24 67 86
24 79 96
24 84 11
24 90 31
24 91 53
24 93 13
24 95 85
24 100 83
25 64 26
25 99 10
25 28 82
25 37 89
25 39 35
25 72 64
25 60 78
25 42 25
25 29 57
25 50 4
25 78 96
25 79 87
25 82 40
25 94 1
25 86 21
25 26 2
25 59 63
25 92 6
25 61 41
25 30 17
26 32 20
26 45 8
26 59 45
26 100 32
26 41 71
26 43 22
26 44 50
26 77 54
26 79 40
26 56 42
26 27 88
26 28 36
27 64 75
27 96 99
27 83 99
27 73 73
27 42 50
27 75 81
27 44 56
27 66 20
27 76 76
27 49 82
27 82 83
27 51 72
27 55 92
27 88 22
27 57 89
27 59 13
27 60 38
28 96 57
28 98 31
28 67 26
28 40 29
28 63 80
28 76 83
28 77 69
28 47 14
28 79 50
28 80 70
28 49 74
28 85 25
28 55 30
28 59 52
28 60 65
28 61 66
28 95 56
29 96 60
29 98 1
29 69 23
29 81 18
29 40 2
29 46 23
29 80 91
29 49 12
29 50 94
29 84 87
29 86 64
29 58 1
29 30 55
30 33 14
30 43 31
30 100 66
30 69 91
30 38 14
30 41 67
30 75 99
30 83 60
30 85 88
30 54 85
30 57 74
30 37 83
31 32 17
31 33 97
31 67 12
31 38 70
31 64 27
31 60 69
31 41 20
31 44 88
31 99 31
31 49 57
31 82 16
31 51 78
31 53 17
31 40 52
31 63 17
31 92 65
31 94 14
31 95 8
32 84 5
32 65 84
32 98 21
32 100 67
32 37 99
32 71 57
32 83 9
32 51 39
32 52 49
32 97 32
32 57 7
32 58 46
32 60 64
32 62 88
33 34 84
33 98 25
33 38 44
33 73 63
33 74 96
33 75 17
33 44 90
33 50 29
33 47 19
33 82 48
33 53 70
33 62 61
33 56 4
33 45 65
33 61 54
33 94 1
34 96 76
34 98 71
34 91 36
34 38 35
34 71 8
34 45 29
34 51 78
34 87 8
34 56 49
34 59 73
34 92 48
35 37 70
35 70 27
35 72 84
35 75 65
35 44 83
35 48 37
35 82 27
35 88 67
35 91 10
35 61 23
35 63 43
36 65 26
36 98 87
36 99 20
36 100 19
36 39 40
36 40 15
36 80 58
36 44 51
36 48 48
36 76 9
36 83 15
36 56 20
36 53 81
36 55 88
36 88 84
36 68 79
36 90 28
36 61 76
37 96 68
37 65 99
37 99 79
37 39 19
37 76 23
37 49 94
37 50 74
37 67 82
37 54 86
37 57 44
37 91 93
37 92 94
37 62 54
38 96 56
38 98 90
38 67 30
