Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,2459,530,66,50852.718750,0.001298
2,1000,0.8,0.2,50.0,1000,2455,513,72,50809.179688,0.001417
3,1000,0.8,0.2,50.0,1000,2437,492,68,50287.722656,0.001352
4,1000,0.8,0.2,50.0,1000,2438,520,61,49936.125000,0.001222
5,1000,0.8,0.2,50.0,1000,2414,507,68,49439.875000,0.001375
6,1000,0.8,0.2,50.0,1000,2370,505,77,49460.039062,0.001557
7,1000,0.8,0.2,50.0,1000,2425,483,56,50218.714844,0.001115
8,1000,0.8,0.2,50.0,1000,2525,496,64,51873.343750,0.001234
9,1000,0.8,0.2,50.0,1000,2433,501,66,50286.902344,0.001312
10,1000,0.8,0.2,50.0,1000,2431,484,57,50089.980469,0.001138
