Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,15953,7910,330,51246.003906,0.006440
2,1000,0.5,0.2,50.0,1000,15443,7754,302,49610.449219,0.006087
3,1000,0.5,0.2,50.0,1000,15959,7950,273,50944.558594,0.005359
4,1000,0.5,0.2,50.0,1000,15442,7700,282,49292.417969,0.005721
5,1000,0.5,0.2,50.0,1000,15754,7885,327,50595.335938,0.006463
6,1000,0.5,0.2,50.0,1000,15937,7968,306,51021.906250,0.005997
7,1000,0.5,0.2,50.0,1000,15806,7857,303,50645.628906,0.005983
8,1000,0.5,0.2,50.0,1000,15487,7785,277,49543.742188,0.005591
9,1000,0.5,0.2,50.0,1000,15192,7611,292,48774.015625,0.005987
10,1000,0.5,0.2,50.0,1000,15436,7706,300,49510.988281,0.006059
