Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,12370,6255,13,48840.000000,0.000266
2,1000,0.5,0.2,50.0,1000,3300,1709,19,50501.000000,0.000376
3,1000,0.5,0.2,50.0,1000,15822,7803,40,51222.972656,0.000781
4,1000,0.5,0.2,50.0,1000,6556,3304,26,51105.000000,0.000509
5,1000,0.5,0.2,50.0,1000,9345,4676,38,49379.726562,0.000770
6,1000,0.5,0.2,50.0,1000,15286,7697,54,50089.769531,0.001078
7,1000,0.5,0.2,50.0,1000,10742,5402,34,49030.875000,0.000693
8,1000,0.5,0.2,50.0,1000,7918,3996,28,49634.000000,0.000564
9,1000,0.5,0.2,50.0,1000,7852,3922,29,49372.000000,0.000587
10,1000,0.5,0.2,50.0,1000,334,160,52,49994.000000,0.001040
